mf_name,curr_price,growth(%),1 year(%),3 year(%),5 year(%),launch_date,exit_load(%),min_investment,Last dividend payout,document_link,link
Axis All Seasons Debt Fund of Funds - Direct Plan - Growth,11.2,0.03,8.21,0.0,0.0,2020-01-10,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516920.00206600/axis-seasons-debt-fund-funds-direct-plan
Axis All Seasons Debt Fund of Funds - Direct Plan - IDCW,11.2,0.03,8.22,0.0,0.0,2020-01-10,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516920.00206700/axis-seasons-debt-fund-funds-direct-plan
Axis All Seasons Debt Fund of Funds - Direct Plan - IDCW-Annual,11.2,0.03,8.22,0.0,0.0,2020-01-10,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516920.00217900/axis-seasons-debt-fund-funds-direct-plan
Axis All Seasons Debt Fund of Funds - Direct Plan - IDCW-Half Yearly,10.04,0.03,0.0,0.0,0.0,2020-01-10,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516920.00218000/axis-seasons-debt-fund-funds-direct-plan
Axis All Seasons Debt Fund of Funds - Direct Plan - IDCW-Monthly,11.21,0.03,8.21,0.0,0.0,2020-01-10,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516920.00218200/axis-seasons-debt-fund-funds-direct-plan
Axis All Seasons Debt Fund of Funds - Direct Plan - IDCW-Quarterly,11.2,0.03,8.21,0.0,0.0,2020-01-10,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516920.00218100/axis-seasons-debt-fund-funds-direct-plan
Axis Global Equity Alpha Fund of Fund - Direct Plan - Growth,12.52,0.57,0.0,0.0,0.0,2020-09-04,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140517139.00206600/axis-global-equity-alpha-fund-fund-direct-plan
Axis Global Equity Alpha Fund of Fund - Direct Plan - IDCW,12.52,0.57,0.0,0.0,0.0,2020-09-04,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140517139.00206700/axis-global-equity-alpha-fund-fund-direct-plan
Axis Global Innovation Fund of Fund - Direct Plan - Growth,10.01,0.0,0.0,0.0,0.0,2021-05-10,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140517335.00206600/axis-global-innovation-fund-fund-direct-plan
Axis Global Innovation Fund of Fund - Direct Plan - IDCW,10.01,0.0,0.0,0.0,0.0,2021-05-10,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140517335.00206700/axis-global-innovation-fund-fund-direct-plan
Axis Gold Fund - Direct Plan - Growth,16.09,-0.75,3.89,15.76,9.96,2013-01-01,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057659.00206600/axis-gold-fund-direct-plan
Axis Gold Fund - Direct Plan - IDCW,16.11,-0.75,3.89,15.77,9.97,2013-01-01,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057659.00206700/axis-gold-fund-direct-plan
Axis Greater China Equity Fund of Fund - Direct Plan - Growth,9.47,0.42,0.0,0.0,0.0,2021-01-29,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140517231.00206600/axis-greater-china-equity-fund-fund-direct-plan
Axis Greater China Equity Fund of Fund - Direct Plan - IDCW,9.47,0.42,0.0,0.0,0.0,2021-01-29,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140517231.00206700/axis-greater-china-equity-fund-fund-direct-plan
Axis Arbitrage Fund - Direct Plan - Growth,15.58,-0.01,3.92,5.76,6.29,2014-07-25,0.25,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140512052.00206600/axis-arbitrage-fund-direct-plan
Axis Arbitrage Fund - Direct Plan - IDCW,11.46,-0.01,2.55,1.54,1.42,2014-07-25,0.25,5000.0,0.50%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140512052.00206700/axis-arbitrage-fund-direct-plan
Axis Banking & PSU Debt Fund - Direct Plan - Growth,2119.37,0.02,6.65,9.3,8.45,2013-01-01,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057616.00206600/axis-banking-debt-fund-direct-plan
Axis Banking & PSU Debt Fund - Direct Plan - IDCW-Monthly,1033.82,0.02,0.68,0.85,0.55,2013-01-01,,5000.0,0.50%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057616.00218200/axis-banking-debt-fund-direct-plan
Axis Banking & PSU Debt Fund - Direct Plan - IDCW-Weekly,1038.87,0.02,1.21,1.08,0.64,2013-01-01,,5000.0,0.06%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057616.00218300/axis-banking-debt-fund-direct-plan
Axis Bluechip Fund - Direct Plan - Growth,45.63,-0.11,48.63,17.47,17.74,2013-01-01,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057657.00206600/axis-bluechip-fund-direct-plan
